Job_ID,Company,Job_title,Job_simple,Max_Salary,Pay_Period,Location,Company_ID,Min_Salary,Work_Type,Remote_Allowed,Experience_Level,Compensation_Type,Normalized_Salary,skill,industry_name
3901632468,i2i Population Health,Data Analyst,Data Analyst,75000,YEARLY,"Tennessee, United States",855005,65000,Full-time,1,null,BASE_SALARY,null,Information Technology,Hospitals and Health Care
3901666135,Talent Groups,Azure Data Engineer,Data Engineer,75000,YEARLY,United States,51701268,65000,Full-time,1,Mid-Senior level,BASE_SALARY,null,Administrative,Staffing and Recruiting
3901675598,Unisys,Data Analyst,Data Analyst,75000,YEARLY,"Richmond, VA",1281,65000,Contract,0,Mid-Senior level,BASE_SALARY,null,Information Technology,Banking
3901681051,SMX,Data Analyst,Data Analyst,75000,YEARLY,"Jacksonville, FL",13011,65000,Full-time,0,Entry level,BASE_SALARY,null,Information Technology,IT Services and IT Consulting
3901685711,"Global Technical Talent, an Inc. 5000 Company",Data Analyst,Data Analyst,75000,HOURLY,"Alameda, CA",19241,65000,Contract,0,Entry level,BASE_SALARY,106225.6,Information Technology,Staffing and Recruiting
3901689367,"Global Technical Talent, an Inc. 5000 Company",Data Analyst,Data Analyst,75000,YEARLY,"Inver Grove Heights, MN",19241,65000,Contract,0,Entry level,BASE_SALARY,null,Information Technology,Staffing and Recruiting
3901903592,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,"Fremont, CA",96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901935948,HTC Global Services,Data Analyst,Data Analyst,75000,YEARLY,"Orlando, FL",201351,65000,Full-time,0,Mid-Senior level,BASE_SALARY,null,Information Technology,IT Services and IT Consulting
3901937219,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,"San Jose, CA",96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901937364,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,Greater Houston,96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
